slug,locale,title,date,status,tags,summary,reading_minutes,url
gitlab-mr-review-agent,en,GitLab MR Review Agent,2026-03-01,active,llm|rag|fastapi|python|qdrant,"LLM-powered code review bot using FastAPI, Qdrant, Claude API, and RAG over Confluence. Reduced review turnaround by 40%.",3,/en/projects/gitlab-mr-review-agent
gitlab-mr-review-agent,ru,GitLab MR Review Agent,2026-03-01,active,llm|rag|fastapi|python|qdrant,"LLM-агент для code review на FastAPI, Qdrant и Claude API с RAG по внутренней документации. Сократил время до review примерно на 40%.",3,/ru/projects/gitlab-mr-review-agent
