slug,locale,title,date,tags,summary,reading_minutes,url
duckdb-httpfs-pushdown,en,DuckDB httpfs column pushdown over Parquet on S3,2026-04-29,duckdb|parquet|s3,DuckDB pushes column projection and filter predicates down to S3 Parquet reads — but only if your file stats are valid.,1,/en/til/duckdb-httpfs-pushdown
duckdb-httpfs-pushdown,ru,DuckDB httpfs pushdown для Parquet в S3,2026-04-29,duckdb|parquet|s3,DuckDB умеет проталкивать проекции колонок и фильтры прямо в чтение Parquet из S3 — но только если статистика файла действительно записана.,2,/ru/til/duckdb-httpfs-pushdown
